2024-03-12 20:13:39,930 INFO    StreamThr :2925620 [internal.py:wandb_internal():86] W&B internal server running at pid: 2925620, started at: 2024-03-12 20:13:39.929653
2024-03-12 20:13:39,932 DEBUG   HandlerThread:2925620 [handler.py:handle_request():146] handle_request: status
2024-03-12 20:13:39,938 INFO    WriterThread:2925620 [datastore.py:open_for_write():87] open: /home/z1164034/unambiguous-prototypes/part_detection/wandb/run-20240312_201339-lerragii/run-lerragii.wandb
2024-03-12 20:13:39,939 DEBUG   SenderThread:2925620 [sender.py:send():378] send: header
2024-03-12 20:13:39,948 DEBUG   SenderThread:2925620 [sender.py:send():378] send: run
2024-03-12 20:13:40,447 INFO    SenderThread:2925620 [dir_watcher.py:__init__():211] watching files in: /home/z1164034/unambiguous-prototypes/part_detection/wandb/run-20240312_201339-lerragii/files
2024-03-12 20:13:40,447 INFO    SenderThread:2925620 [sender.py:_start_run_threads():1099] run started: lerragii with start time 1710270819.930117
2024-03-12 20:13:40,455 DEBUG   HandlerThread:2925620 [handler.py:handle_request():146] handle_request: check_version
2024-03-12 20:13:40,455 DEBUG   SenderThread:2925620 [sender.py:send_request():405] send_request: check_version
2024-03-12 20:13:40,580 DEBUG   HandlerThread:2925620 [handler.py:handle_request():146] handle_request: run_start
2024-03-12 20:13:40,590 DEBUG   HandlerThread:2925620 [system_info.py:__init__():26] System info init
2024-03-12 20:13:40,590 DEBUG   HandlerThread:2925620 [system_info.py:__init__():41] System info init done
2024-03-12 20:13:40,590 INFO    HandlerThread:2925620 [system_monitor.py:start():194] Starting system monitor
2024-03-12 20:13:40,590 INFO    SystemMonitor:2925620 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-12 20:13:40,590 INFO    HandlerThread:2925620 [system_monitor.py:probe():214] Collecting system info
2024-03-12 20:13:40,591 INFO    SystemMonitor:2925620 [interfaces.py:start():190] Started cpu monitoring
2024-03-12 20:13:40,591 INFO    SystemMonitor:2925620 [interfaces.py:start():190] Started disk monitoring
2024-03-12 20:13:40,592 INFO    SystemMonitor:2925620 [interfaces.py:start():190] Started gpu monitoring
2024-03-12 20:13:40,593 INFO    SystemMonitor:2925620 [interfaces.py:start():190] Started memory monitoring
2024-03-12 20:13:40,594 INFO    SystemMonitor:2925620 [interfaces.py:start():190] Started network monitoring
2024-03-12 20:13:40,637 DEBUG   HandlerThread:2925620 [system_info.py:probe():150] Probing system
2024-03-12 20:13:40,640 DEBUG   HandlerThread:2925620 [system_info.py:_probe_git():135] Probing git
2024-03-12 20:13:40,649 DEBUG   HandlerThread:2925620 [system_info.py:_probe_git():143] Probing git done
2024-03-12 20:13:40,649 DEBUG   HandlerThread:2925620 [system_info.py:probe():198] Probing system done
